Clave,Descripción,Línea,Existencias,Modelo,Talla,Color,Cuenta contable,Clave alterna
ZOETIS-141,APOQUEL 16MG 10BLS X 10TAB (100TAB),PQZOE,3,,,,,
ZOETIS-140,APOQUEL 5.4MG 10BLS X10TAB (100TAB),PQZOE,3,,,,,
ZOETIS-139,APOQUEL 3.6MG 10BLS X 10TAB (100TAB),PQZOE,1,,,,,
ZOETIS-138,CYTOPOINT 20MG 2 VIALES,PQZOE,3,,,,,
ZOETIS-137,APOQUEL 5.4MG 100TABLETAS,PQZOE,0,,,,,
ZOETIS-136,SYNOVEX CHOICE 10 DS,ZOETI,0,,,,,
ZOETIS-135,------BOMBARD 100ML,ZOETI,0,,,,,
ZOETIS-134,CYTOPOINT 40MG 2 VIALES,PQZOE,4,,,,,
ZOETIS-133,RIMADYL MASTICABLE 100MG 60 TAB,PQZOE,2,,,,,
ZOETIS-132,RIMADYL MASTICABLE 25MG 60 TAB,PQZOE,6,,,,,
ZOETIS-131,CONVENIA 10ML,PQZOE,2,,,,,
ZOETIS-130,APOQUEL 16MG 2 BLS X10 TAB. (20 TAB),PQZOE,15,,,,,
ZOETIS-129,ANTISEDAN 10ML,PQZOE,11,,,,,
ZOETIS-128,DEXDOMITOR 10 ML,PQZOE,3,,,,,
ZOETIS-127,CONVENIA 4ML,PQZOE,4,,,,,
ZOETIS-124,REVOLUTION AZUL GATOS.75ML,PQZOE,0,,,,,
ZOETIS-123,CERENIA INY. 20ML,PQZOE,5,,,,,
ZOETIS-122,ZELAZOL 5ML,PQZOE,94,,,,,
ZOETIS-121,APOQUEL 5.4MG 2 BLS X 10 TAB (20 TAB),PQZOE,17,,,,,
ZOETIS-120,APOQUEL 3.6 MG 2 BLS X 10 TAB. (20 TAB),PQZOE,16,,,,,
ZOETIS-119,GIARDIA VAX 1DS,PQZOE,244,,,,,
ZOETIS-118,VANGUARD PLUS 5L 1DS,PQZOE,269,,,,,
ZOETIS-116,NOVORMON SOL 5000,ZOETI,25,,,,,
ZOETIS-115,BENZOATO DE ESTRADIOL 50ML,ZOETI,0,,,,,
ZOETIS-114,TSV3 1 DS,ZOETI,0,,,,,
ZOETIS-113,CALMAFOS 500ML,ZOETI,0,,,,,
ZOETIS-112,SIMPARICA 80MG  3 TAB. 20-40 KG,PQZOE,0,,,,,
ZOETIS-111,SIMPARICA 40MG 3 TAB. 10-20KG,PQZOE,61,,,,,
ZOETIS-110,SIMPARICA 10MG 3TAB. 2.5-5KG,PQZOE,0,,,,,
ZOETIS-109,VANGUARD PLUS 5/CV 1 DS,PQZOE,355,,,,,
ZOETIS-108,CIDR BORREGOS C/20 DS,ZOETI,2,,,,,
ZOETIS-107,SIMPARICA 20 MG 3TAB  5-10 KG,PQZOE,2,,,,,
ZOETIS-106,VANGUARD PLUS 5/CV-L 1 DS,PQZOE,463,,,,,
ZOETIS-105,VALBAZEN 2.5 250 ML,ZOETI,0,,,,,
ZOETIS-103,DEFENSOR 1 1DS,PQZOE,478,,,,,
ZOETIS-102,VANGUARD PLUS CPV/CV 1 DS,PQZOE,46,,,,,
ZOETIS-101,VANGUARD PLUS 5 CV L4 1 DS,PQZOE,333,,,,,
ZOETIS-100,BOVI SHIELD GOLD-ONE SHOT 10 DS,ZOETI,0,,,,,
ZOETIS-099,BOVI SHIELD GOLD- ONE SHOT 50 DS,ZOETI,0,,,,,
ZOETIS-097,TSV 3 10 DS,ZOETI,45,,,,,
ZOETIS-096,TSV 3  25 DS,ZOETI,36,,,,,87219130186
ZOETIS-093,VALBAZEN 10% 1 LTO,ZOETI,0,,,,,
ZOETIS-092,----BARRICADE PLUS 1 LTO,ZOETI,0,,,,,
ZOETIS-091,FACTREL 50 ML,ZOETI,1,,,,,7503019612637
ZOETIS-090,ONE SHOT ULTRA 10 DS,ZOETI,0,,,,,87219115251
ZOETIS-088,TETANOS TOXOID 1DS,PQZOE,214,,,,,
ZOETIS-087,FLUVAC INNOVATOR 1DS,PQZOE,300,,,,,
ZOETIS-086,EQUEST PRAMOX PASTA 11.8G,PQZOE,20,,,,,
ZOETIS-085,EQUEST 1 JGA  GEL PASTA 12.2G,PQZOE,20,,,,,
ZOETIS-084,CLOVITE SUPL  VIT 2.2 KG 5 LB,PQZOE,8,,,,,
ZOETIS-083,----CATTLE MASTER GOLD FP5 25 DS,ZOETI,0,,,,,
ZOETIS-082,SYNOVEX M 10 DS,ZOETI,10,,,,,
ZOETIS-081,MASTEX 100ML,ZOETI,0,,,,,
ZOETIS-080,----BACTREX 25 ML,ZOETI,0,,,,,
ZOETIS-079,----BOMBARD 1LTO,ZOETI,0,,,,,
ZOETIS-078,ONE SHOT ULTRA 50 DS,ZOETI,9,,,,,87219115237
ZOETIS-076,APLICADOR CIDR,ZOETI,0,,,,,
ZOETIS-075,CYDECTIN NF 500 ML,ZOETI,14,,,,,
ZOETIS-074,SYNOVEX PASTOREO CARTUCHO C/10 DS,ZOETI,23,,,,,87219130148
ZOETIS-073,VANGUARD PLUS 5 1 DS,PQZOE,422,,,,,
ZOETIS-072,AUREO S 700 22-7 K,ZOETI,0,,,,,
ZOETIS-070,DRAXXIN 20 ML,ZOETI,4,,,,,
ZOETIS-069,----TERRAMICINA PRO SOLUBLE (ANIMAL) 5G,ZOETI,0,,,,,
ZOETIS-068,TERRAMICINA FORMULA ESPECIAL HIAMINA 5G,ZOETI,511,,,,,
ZOETIS-067,DUPHAFRAL SE 250 ML,ZOETI,0,,,,,
ZOETIS-066,-------GIARDIA VAX 1 DS,PQZOE,0,,,,,
ZOETIS-065,CYTOPOINT 30 MG 2 VIALES,PQZOE,5,,,,,
ZOETIS-064,SPIROVAC 50 DS,ZOETI,0,,,,,
ZOETIS-063,SPIROVAC 10 DS,ZOETI,0,,,,,
ZOETIS-061,VALBAZEN 10% CO 250 ML,ZOETI,0,,,,,
ZOETIS-060,VALBAZEN 10 % CO 30 GRS,ZOETI,0,,,,,
ZOETIS-059,SYNTADE 500 ML,ZOETI,0,,,,,
ZOETIS-057,ULTRABAC 7/SOMUBAC 50 DS 250 ML,ZOETI,33,,,,,
ZOETIS-056,ULTRABAC 7/SOMUBAC 10 DS 50 ML,ZOETI,15,,,,,
ZOETIS-055,ULTRABAC 7 50 DS 250 ML,ZOETI,98,,,,,
ZOETIS-054,ULTRABAC 7 10 DS 50 ML,ZOETI,87,,,,,
ZOETIS-053,TSV-2 25 DS,ZOETI,0,,,,,
ZOETIS-052,TSV-2 10 DS,ZOETI,0,,,,,
ZOETIS-051,SYNOVEX  PLUS10 ds,ZOETI,40,,,,,
ZOETIS-050,SYNOVEX H C/ 10 DS,ZOETI,0,,,,,
ZOETIS-047,RIPERCOL L INY 12% 500 ML,ZOETI,0,,,,,
ZOETIS-046,RIPERCOL L INY 12% 1 LT,ZOETI,0,,,,,
ZOETIS-045,PROGESTERONA 10 ML,ZOETI,43,,,,,
ZOETIS-044,ONE SHOT 50 DS,ZOETI,0,,,,,
ZOETIS-043,ONE SHOT 10 DS,ZOETI,0,,,,,
ZOETIS-042,MAMISAN UNG 200 GR,ZOETI,764,,,,,7503019612064
ZOETIS-041,MAMISAN UNG 100 GR,ZOETI,695,,,,,7503019612057
ZOETIS-040,LEPTOFERM-5 50 DOSIS,ZOETI,3,,,,,
ZOETIS-039,BRONCHICINE 1 DS,PQZOE,409,,,,,
ZOETIS-038,EXCEDE 200MG 100 ML (CATTLE),ZOETI,0,,,,,
ZOETIS-037,EMICINA LIQUIDA 500 ML,ZOETI,98,,,,,
ZOETIS-036,EMICINA LIQUIDA 20 ML,ZOETI,641,,,,,
ZOETIS-035,EMICINA LIQUIDA 100 ML,ZOETI,558,,,,,
ZOETIS-034,EMICINA LA 250 ML,ZOETI,136,,,,,
ZOETIS-033,EMICINA LA 100 ML,ZOETI,115,,,,,
ZOETIS-032,ECP 2MG/ML 10ML VV IMP,ZOETI,122,,,,,
ZOETIS-031,DRAXXIN 500 ML,ZOETI,14,,,,,
ZOETIS-030,DRAXXIN 250 ML,ZOETI,18,,,,,
ZOETIS-028,-----DERRIENGUE 10 DS,ZOETI,0,,,,,
ZOETIS-027,DECTOMAX 500 ML,ZOETI,23,,,,,7898597991404
ZOETIS-026,DECTOMAX 50 ML,ZOETI,82,,,,,7898597991329
ZOETIS-025,CYDECTIN ONYX 10% DE 250 ML,ZOETI,13,,,,,7503019612026
ZOETIS-024,CIDR 1.9G BOVINOS 10´s BOLSA C/10 DISP,ZOETI,16,,,,,
ZOETIS-023,CATTLE MASTER GOLD FP 5 L5 25 DOSE,ZOETI,0,,,,,
ZOETIS-022,CATTLE MASTER GOLD FP 5 L5 10 DS,ZOETI,0,,,,,
ZOETIS-021,BOVI SHIELD GOLD FP 5 L5 50 DOSIS,ZOETI,0,,,,,
ZOETIS-020,BOVI SHIELD GOLD FP 5 L5 10 DS,ZOETI,0,,,,,
ZOETIS-019,BOVI SHIELD GOLD FP 5 50 DS,ZOETI,0,,,,,
ZOETIS-018,BOVI SHIELD GOLD FP 5 10 DS,ZOETI,16,,,,,87219097922
ZOETIS-017,----BACTREX SOL INY 100 ML,ZOETI,0,,,,,
ZOETIS-016,----AQUINACE 10% 250 ML,ZOETI,0,,,,,
ZOETIS-015,FELOCELL 1 DS,PQZOE,454,,,,,
ZOETIS-014,HIPPIRON 20 ML 10´S VV,PQZOE,803,,,,,
ZOETIS-012,----EQUIPOISE 10 ML,PQZOE,0,,,,,
ZOETIS-011,DOMOSO 100 ML,PQZOE,87,,,,,7503019166307
ZOETIS-010,RIMADYL  AF 50 ML,ZOETI,10,,,,,
ZOETIS-009,LUTALYSE INY 30 ML,ZOETI,120,,,,,
ZOETIS-008,---NOLVASAN SOLUCION 1 GALON,ZOETI,0,,,,,
ZOETIS-007,LEUKOCELL 2  1DS,PQZOE,0,,,,,
ZOETIS-006,FLUVICINA 4.0 MILLONES,ZOETI,"2,298.00",,,,,7503019166475
ZOETIS-005,FLUVET SOL INY 50 ML,ZOETI,142,,,,,7503019166383
ZOETIS-004,FLUVET SOL INY 10 ML,ZOETI,137,,,,,7503019166376
ZOETIS-003,EXCENEL RTU 100 ML 1S,ZOETI,15,,,,,
ZOETIS-002,DRAXXIN 100 ML,ZOETI,0,,,,,
ZOETIS-001,----DIAMINO SOL INY 100 ML,ZOETI,0,,,,,
ZIRIN-010,SUPER ACE & OKASOME 100ML,ZIRIN,2,,,,,
ZIRIN-009,ZIRCA NEGRO 500ML,ZIRIN,156,,,,,
ZIRIN-008,SUO-PLEX 100ML,ZIRIN,0,,,,,
ZIRIN-007,SUO-PLEX 250ML,ZIRIN,0,,,,,
ZIRIN-006,SUPER SORBIN 250 ML,ZIRIN,0,,,,,
ZIRIN-005,CARDIOBEE-15 250 ML,ZIRIN,92,,,,,
ZIRIN-004,CARDIOBEE-15 50 ML,ZIRIN,132,,,,,
ZIRIN-003,CARDIOBEE-15 100 ML,ZIRIN,60,,,,,
ZIRIN-001,VITAMINA C INY 100 ML ZIRIN,ZIRIN,0,,,,,
WITTNEY-009,AMINOCOM 500ML,,0,,,,,
WITTNEY-007,YODURO DE SODIO 250 ML,WITTN,10,,,,,CF3124-4
WITTNEY-005,POLVO OPTICO SULFAMIXIN 29GR.,WITTN,"2,111.00",,,,,
WITTNEY-004,PINTURA P/HERRAR,WITTN,327,,,,,
WITTNEY-003,PASTA DESCORNADORA,WITTN,441,,,,,CN3110-4
WITTNEY-001,LIQUIDO OPTICO AEROSOL,WITTN,32,,,,,
VIRBAC-075,CORTAVANCE 76ML,PQVIR,4,,,,,
VIRBAC-074,SANIX AH 120ML,PQVIR,4,,,,,
VIRBAC-073,ACATAK 1 LTO,VIRBA,20,,,,,
VIRBAC-072,ACATAK 5 LTS,VIRBA,47,,,,,
VIRBAC-071,ECTOGAN 100ML,VIRBA,0,,,,,
VIRBAC-070,MILPRO GATO 16MG/40MG 2KG,PQVIR,0,,,,,
VIRBAC-069,SHOTAPEN LA 100ML,PQVIR,2,,,,,
VIRBAC-068,ECTOGAN 1 LTO,VIRBA,143,,,,,
VIRBAC-067,PAQUETE GANA MAS  2  ZERAMEC 250+ 1 50ML,VIRBA,0,,,,,
VIRBAC-066,LEUCOGEN,PQVIR,35,,,,,
VIRBAC-065,---VIRBAMEC LA 500 ML,VIRBA,0,,,,,
VIRBAC-064,VIRBAMEC PLATINUM 500ML,VIRBA,0,,,,,
VIRBAC-063,IMIDOGAN 100 ML,VIRBA,21,,,,,7502010424119
VIRBAC-062,SUPERMETRINA POURON 250ML,VIRBA,25,,,,,
VIRBAC-061,SUPERMETRINA POURON 1 LTO,VIRBA,41,,,,,
VIRBAC-060,RUMINAL PLUS 15GR,VIRBA,699,,,,,7502010423686
VIRBAC-059,FORTIUS LA/250ML,VIRBA,22,,,,,7502010423976
VIRBAC-058,FOSFOSAN 500ML,VIRBA,3,,,,,7502010429169
VIRBAC-057,SHOTAPEN LA 250,PQVIR,0,,,,,
VIRBAC-056,ANXITANE M/L C/30TAB,PQVIR,0,,,,,
VIRBAC-055,ANXITANE S C/30TABLETAS,PQVIR,0,,,,,
VIRBAC-054,ALLERGROOM 237ML,PQVIR,0,,,,,
VIRBAC-053,EPI SOOTHE 250ML,PQVIR,0,,,,,
VIRBAC-052,VITAMINTHE 25ML,PQVIR,9,,,,,
VIRBAC-051,VITAMINTHE 10ML,PQVIR,3,,,,,
VIRBAC-050,---EFFIPRO BOVIS 1 LTO,VIRBA,0,,,,,
VIRBAC-049,---SHOTADEX 100ML,VIRBA,0,,,,,
VIRBAC-048,AQUADENT FCO. 250ML,PQVIR,1,,,,,
VIRBAC-046,ZERALON 250 ML,VIRBA,0,,,,,
VIRBAC-045,-----NOVORMON 5000  25ml,VIRBA,0,,,,,
VIRBAC-043,HEPATONIC 100 ML,VIRBA,7,,,,,
VIRBAC-042,MAXFLOR L.A. 250 ML,VIRBA,4,,,,,
VIRBAC-041,---ARTHRIDINE 100 ML,VIRBA,0,,,,,
VIRBAC-040,ALFADEX SOBRE 25 GR,VIRBA,"33,569.00",,,,,
VIRBAC-038,PYOBEN 250 ML,PQVIR,0,,,,,
VIRBAC-037,KETOCHLOR 250ML,PQVIR,7,,,,,
VIRBAC-036,NUTRIPLUS 30 TABS,PQVIR,0,,,,,
VIRBAC-035,ENDOGARD 30 CLINIC PACK TABLETA,PQVIR,524,,,,,
VIRBAC-034,DEXORYL 20 GR,PQVIR,0,,,,,
VIRBAC-033,HEXADENE SPHERULITES 250ML,PQVIR,2,,,,,
VIRBAC-032,VIRBAGEN OMEGA 10 UI,PQVIR,0,,,,,
VIRBAC-031,FOSFOSAN 100ML,VIRBA,0,,,,,
VIRBAC-030,ALIZIN 10 ML,PQVIR,27,,,,,7502010420548
VIRBAC-029,PYOBEN SHAMPOO 237 ML,PQVIR,0,,,,,
VIRBAC-028,ZOLETIL-50 5 ML,PQVIR,76,,,,,7502010420289
VIRBAC-027,ZERAMEC 1% 50 ML,VIRBA,0,,,,,
VIRBAC-026,ZERAMEC 1% 250 ML,VIRBA,1,,,,,
VIRBAC-025,RILEXINE-600 PALATABLE 14 TABLETAS,PQVIR,3,,,,,
VIRBAC-024,RILEXINE-300 PALATABLE 14 TABLETAS,PQVIR,6,,,,,
VIRBAC-023,RILEXINE-75 PALATABLE 14 TABLETAS,PQVIR,0,,,,,
VIRBAC-022,ENDOGARD 10 CLINIC PACK  TABLETA,PQVIR,576,,,,,
VIRBAC-021,CRAZYHORSE SHAMPOO 1 LTO---,VIRBA,1,,,,,
VIRBAC-020,ZOLETIL-100 5 ML,PQVIR,54,,,,,
VIRBAC-019,ALLERMYL GLYCO 250ML,PQVIR,0,,,,,
VIRBAC-017,NUTRIPLUS 60 TAB,PQVIR,11,,,,,7502010422573
VIRBAC-016,NUTRIPLUS GEL 120GR,PQVIR,25,,,,,
VIRBAC-014,EASOTIC 10ML,PQVIR,1,,,,,
VIRBAC-011,PROTON-500 100 ML,VIRBA,1,,,,,7502010423655
VIRBAC-010,FORTIK 4/ 1 LTO,VIRBA,36,,,,,7502010427820
VIRBAC-009,NUTRIBOUND GATO 150ML,PQVIR,2,,,,,
VIRBAC-008,PHOSPHO 20 FRCO. 250 ML.,VIRBA,0,,,,,
VIRBAC-007,NUTRIBOUND PERRO 150ML,PQVIR,2,,,,,
VIRBAC-006,FISIO ANTI-OLOR SHAMPOO 200 ML,PQVIR,0,,,,,
VIRBAC-005,MEGADERM 28 SACHETS 4 ML,PQVIR,15,,,,,
VIRBAC-004,EPIOTIC ADVANCED 120ML,PQVIR,2,,,,,
VIRBAC-003,----ZERALON PLATINUM 200ML,VIRBA,0,,,,,
VIRBAC-002,RILEXINE 150 100 ML,PQVIR,0,,,,,
VIRBAC 001,ENDOGARD 2.5 CLINIC PACK TABLETA,PQVIR,274,,,,,
VETSPHARMA-052,BIOPREVENT ANTIRRABICA virus inactivado,PHARM,365,,,,,
VETSPHARMA-051,FLUNAXIN 100ML,VETS,101,,,,,7506343800664
VETSPHARMA-050,AMOXIGENT 100ML,VETS,70,,,,,
VETSPHARMA-049,BROMHEXIN 100ML,VETS,55,,,,,
VETSPHARMA-048,VITAMINA K3 100ML,VETS,41,,,,,
VETSPHARMA-047,BOLDENONA 250ML,VETS,14,,,,,
VETSPHARMA-046,CLOREXIVET SOL. 4 LTS,VETS,5,,,,,7506343800879
VETSPHARMA-045,DICLOVET 40 250ML,VETS,0,,,,,
VETSPHARMA-044,BALSAMO BLANCO 100 GR.,VETS,3,,,,,
VETSPHARMA-043,BALSAMO BLANCO 225GR,VETS,22,,,,,
VETSPHARMA-042,POMADA YODOFORMADA 425GR,VETS,18,,,,,
VETSPHARMA-041,POMADA YODADA 425GR,VETS,8,,,,,
VETSPHARMA-040,CEPHA LAC  JERINGA,VETS,0,,,,,
VETSPHARMA-039,XILAPET 10% 50ML,VETS,3,,,,,
VETSPHARMA-038,COMPLEJO B EXTRA 250ML,VETS,0,,,,,
VETSPHARMA-037,IVERPLUS 1% 500ML,VETS,67,,,,,
VETSPHARMA-036,KAOFIN 1 LTO  PET470,VETS,19,,,,,
VETSPHARMA-035,FLUNAXIN 250ML PET261,VETS,5,,,,,
VETSPHARMA-034,VETS,VETS,0,,,,,
VETSPHARMA-033,PENBIOCIL  6 MUI,VETS,0,,,,,
VETSPHARMA-032,PENBIOCIL 4 MUI,VETS,0,,,,,
VETSPHARMA-031,GENTACYN 150 250ML,VETS,1,,,,,7506343800282
VETSPHARMA-030,DIFENPET 100ML,VETS,1,,,,,
VETSPHARMA-029,ELECTROPET 20KG PET403,VETS,8,,,,,
VETSPHARMA-028,AZUL CICATRIZANTE 1LT PET500,VETS,2,,,,,7506343802866
VETSPHARMA-027,DIPIRONA 250ML PET076,VETS,35,,,,,
VETSPHARMA-026,LAXOTHON ORAL 5 100 GR PET087,VETS,39,,,,,
VETSPHARMA-025,CEFTIOFUR 5% 100ML PET542,VETS,0,,,,,
VETSPHARMA-024,VITAMINA ADE 100 ML PET408,VETS,0,,,,,
VETSPHARMA-023,OXITOCINA-20 100ML,VETS,56,,,,,
VETSPHARMA-022,ALBENDACUR 10% 1 LTO PET136,VETS,0,,,,,
VETSPHARMA-021,ALBENDACUR 10%  200ML  PET135,VETS,0,,,,,
VETSPHARMA-020,ALBENDACUR 2.5 1 LTO PET022,VETS,18,,,,,
VETSPHARMA-019,ALBENDACUR 2.5 200ML  PET021,VETS,0,,,,,
VETSPHARMA-018,VERMISOLE VITAMINADO 250,VETS,0,,,,,
VETSPHARMA-017,VERMISOLE VITAMINADO 100ML PET111,VETS,0,,,,,
VETSPHARMA-016,BOLDENONA 100 ML PET426,VETS,26,,,,,
VETSPHARMA-015,DEXAFLAM 100ML PET265,VETS,31,,,,,7506343800541
VETSPHARMA-014,CALFODEX NEGRO 500ML PET471,VETS,141,,,,,
VETSPHARMA-013,DIPIRONA 100ML PET075,VETS,63,,,,,
VETSPHARMA-012,BUTAZOL 100ML PET214,VETS,22,,,,,
VETSPHARMA-011,GENTACYN 150 100ML PET058,VETS,141,,,,,
VETSPHARMA-010,CEPHA SEC NC  PET017,VETS,24,,,,,
VETSPHARMA-009,VITAMINA B1 50ML PET091,VETS,43,,,,,
VETSPHARMA-008,VITAMINA ADE 500ML PET409,VETS,50,,,,,
VETSPHARMA-007,COMPLEJO B EXTRA 100ML PET129,VETS,7,,,,,7506343801821
VETSPHARMA-006,AZUL CICATRIZANTE 120ML C/ATOM PET015,VETS,574,,,,,7506343800831
VETSPHARMA-005,AZUL CICATRIZANTE 100ML PET014,VETS,422,,,,,7506343800824
VETSPHARMA-004,KAOFIN 250ML PET238,VETS,91,,,,,
VETSPHARMA-003,DICLOVET 40 100ML PRT070,VETS,0,,,,,
VETSPHARMA-002,RUMEN PLUS 15 GR,VETS,397,,,,,
VETSPHARMA-001,TILOSINA 200 100ML PET210,VETS,1,,,,,7506343801975
VETOQUINOL-059,ENISYL F 100ML,VETOQ,2,,,,,
VETOQUINOL-058,SEPTOTRY INY. 250ML,VETOQ,24,,,,,
VETOQUINOL-057,TOLFINE INY. 100ML,VETOQ,12,,,,,
VETOQUINOL-056,PROFINIAL 7MG G Y P CH  C/20 COMP,VETOQ,0,,,,,
VETOQUINOL-055,LONGAMOX SUSO. INY. 100ML,VETOQ,9,,,,,
VETOQUINOL-054,TOLFEDINE 20MG 8COMP,VETOQ,33,,,,,
VETOQUINOL-053,METHIGEL 4.25OZ,PQVET,25,,,,,
VETOQUINOL-052,EAR CLEANSING 4 OZ,PQVET,60,,,,,
VETOQUINOL-051,MARBOCYL P 5MG CPR BT100FR,PQVET,14,,,,,
VETOQUINOL-050,FLEXADIN ADVANCED ORIGINAL,PQVET,29,,,,,
VETOQUINOL-049,TONARSYL SOL. INY. 50ML,VETOQ,9,,,,,
VETOQUINOL-048,TOLFINE 250ML INY.,VETOQ,24,,,,,
VETOQUINOL-047,PRIFINIAL PERROS 70MG CJA. C/8 COMP,PQVET,12,,,,,
VETOQUINOL-046,PRIFINIAL G Y P CHICO 7MG C/20 COMP,PQVET,23,,,,,
VETOQUINOL-045,NUTRICAL GEL 4.25 ONZAS 120.5 GR,PQVET,83,,,,,17030015577
VETOQUINOL-044,PROPALIN 100ML,VETOQ,9,,,,,
VETOQUINOL-043,TOLFEDINE PERROS 60MG CJA. C/16 COMP,VETOQ,30,,,,,
VETOQUINOL-042,TOLFEDINE 6MG G YP CH CJA. C/20 COMP,VETOQ,1,,,,,
VETOQUINOL-041,DIURIZONE SOL. INY. 50ML,VETOQ,64,,,,,
VETOQUINOL-040,ORIDERMYL POMADA TUBO 10GR,PQVET,45,,,,,
VETOQUINOL-039,ORIBIOTIC POMADA TUBO 10GR,PQVET,109,,,,,
VETOQUINOL-038,MARBOCYL P 80 C/72 TAB,PQVET,16,,,,,
VETOQUINOL-037,MARBOCYL P 20MG C/100 TAB,PQVET,18,,,,,
VETOQUINOL-036,MARBOCYL 10% SOL. INY. 100ML,PQVET,4,,,,,
VETOQUINOL-035,PROPALIN 30 ML,PQVET,20,,,,,
VETOQUINOL-034,AURIZON 10ML,PQVET,46,,,,,
VETOQUINOL-033,FLEXADIN CPR 30 TAB,PQVET,66,,,,,
VETOQUINOL-032,CLAVASEPTIN 500MG BLISTER C/10TAB,PQVET,30,,,,,
VETOQUINOL-031,PAXON 30 COMP.,VETOQ,21,,,,,
VETOQUINOL-030,COTHIVET VAPORIZADOR 30ML,PQVET,45,,,,,
VETOQUINOL-029,FRECARDYL SOL 50ML,VETOQ,34,,,,,
VETOQUINOL-028,CIMALGEX 80MG,PQVET,36,,,,,
VETOQUINOL-027,IPAKITINE PDR 60 GR,PQVET,105,,,,,
VETOQUINOL-026,CIMALGEX 30MG,PQVET,51,,,,,
VETOQUINOL-025,FLEXADIN 90 COMP,PQVET,46,,,,,
VETOQUINOL-024,MAGNOPHOS SOL. INY. 250ML,PQVET,78,,,,,
VETOQUINOL-023,AZODYL 90 CAPS,PQVET,72,,,,,
VETOQUINOL-022,RENAL-K 142GR,PQVET,48,,,,,
VETOQUINOL-021,IPAKITINE PDR 300 GR,PQVET,63,,,,,
VETOQUINOL-020,CLAVASEPTIN 50MG  BLISTER C/10 TAB,PQVET,70,,,,,
VETOQUINOL-019,CLAVASEPTIN 250MG BLISTER C/10 TABLETAS,PQVET,69,,,,,
VETOQUINOL-018,PRIFINIAL SOL. INY. 50ML,VETOQ,24,,,,,
VETOQUINOL-017,PEN HISTA STREP SUSP. INY. 100,VETOQ,32,,,,,
VETOQUINOL-016,FERCOBSANG SOL. INY. 100,VETOQ,0,,,,,
VETOQUINOL-015,MARBOCYL 2% INY. 100ML,PQVET,12,,,,,
VETOQUINOL-014,CLORKETAM -1000 10ML,VETOQ,0,,,,,
VETOQUINOL-013,COTHIVET VAPORIZADOR 100 ML,VETOQ,60,,,,,
VETOQUINOL-012,-----SELEPHEROL EMUL INY. 250,VETOQ,0,,,,,
VETOQUINOL-011,CALMIVET SOL INY 50 ML,VETOQ,144,,,,,
VETOQUINOL-010,CALMIVET 40 COMPRIMIDOS,PQVET,203,,,,,
VETOQUINOL-009,SUPPRESTRAL 5 ML,VETOQ,373,,,,,
VETOQUINOL-008,ALUSPRAY 210 ML,VETOQ,785,,,,,
VETOQUINOL-007,ORNIPURAL SOL INY. 100 ML,VETOQ,167,,,,,
VETOQUINOL-006,THERACALCIUM SOL INY 100 ML,VETOQ,49,,,,,
VETOQUINOL-005,DOGALACT C/20 COMP,PQVET,70,,,,,
VETOQUINOL-004,VETACORTYL SUSP INY 5 ML,VETOQ,36,,,,,
VETOQUINOL-003,KYNOSELEN INY 100 ML,VETOQ,402,,,,,
VETOQUINOL-002,MEGECAT C/18 COMP,PQVET,116,,,,,
